Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,2026 proj Pts,Pts/ip,2025 proj pts,Diff,Rotation Rank,sp z,ADP,DIff,Frozen,35.99704685,,,
Shane Smith,CWS,SP,157.9,150,8,0,4.22,1.28,74,143,59,21,29,29,10,0,149,0.9436352122,,149,1,0.1168498632,#N/A,#N/A,,,,,
Clay Holmes,NYM,SP,151.8,124,10,0,3.95,1.35,67,147,57,14,28,27,9,0,149,0.9815546772,,149,4,0.1168498632,113,-51,,,,,
Tyler Glasnow,LAD,SP,130.2,152,9,0,3.64,1.17,53,105,48,16,23,23,6,0,147,1.129032258,,147,5,0.06128974994,33,30,,,,,
Edward Cabrera,CHC,SP,138,148,9,0,3.9,1.24,60,117,54,16,26,26,7,0,147,1.065217391,,147,3,0.06128974994,189,-125,,,,,
Shane Baz,BAL,SP,151.9,149,9,0,4.2,1.27,71,140,54,21,28,28,9,0,147,0.9677419355,,147,3,0.06128974994,72,-7,,,,,
Kris Bubic,KC,SP,141.3,138,9,0,3.77,1.26,59,131,47,15,30,25,7,0,147,1.040339703,,147,3,0.06128974994,215,-149,,,,,
Brayan Bello,BOS,SP,157.1,128,10,0,4.26,1.34,74,156,55,18,28,28,9,0,147,0.935709739,,147,4,0.06128974994,126,-59,,,,,
Bailey Ober,MIN,SP,157.1,142,9,0,4.36,1.21,76,152,38,26,28,28,9,1,147,0.935709739,,147,2,0.06128974994,32,36,,,,,
Joey Cantillo,CLE,"SP,RP",132.4,140,7,0,3.89,1.31,57,116,57,16,43,21,7,0,146,1.102719033,,146,3,0.03350969331,226,-157,,,,,
Jacob Misiorowski,MIL,SP,136.7,157,9,0,3.96,1.28,60,111,64,17,30,25,8,0,145,1.060716898,,145,2,0.00572963668,208,-138,,,,,
Jack Leiter,TEX,SP,152.7,147,9,0,4.3,1.3,73,136,62,21,29,28,9,0,145,0.9495743287,,145,4,0.00572963668,204,-133,,,,,
Ryne Nelson,ARI,"SP,RP",156.4,129,9,0,4.19,1.26,73,154,43,21,33,27,8,0,144,0.9207161125,,144,4,-0.02205041995,207,-135,,,,,
Trevor Rogers,BAL,SP,144.3,125,9,0,4.07,1.28,65,138,47,17,26,26,8,1,142,0.9840609841,,142,4,-0.0776105332,263,-190,,,,,
Joe Musgrove,SD,SP,140.9,134,8,0,3.93,1.2,62,132,36,19,25,25,8,0,142,1.007806955,,142,3,-0.0776105332,#N/A,#N/A,,,,,
Sean Manaea,NYM,"SP,RP",126.9,132,8,0,4.07,1.21,57,113,40,18,35,21,7,0,142,1.118991332,,142,5,-0.0776105332,67,8,,,,,
Seth Lugo,KC,SP,159.1,134,9,0,4.43,1.32,78,159,52,23,28,28,9,0,142,0.8925204274,,142,4,-0.0776105332,59,17,,,,,
Luis Severino,ATH,SP,168.7,135,9,0,4.57,1.34,86,171,54,24,29,29,11,0,142,0.8417308832,,142,1,-0.0776105332,120,-43,,,,,
Shane McClanahan,TB,SP,128.4,136,8,0,3.63,1.17,52,111,39,16,23,23,7,0,141,1.098130841,,141,3,-0.1053905898,52,26,,,,,
Casey Mize,DET,SP,143.7,125,9,0,4.13,1.26,66,142,40,19,27,27,8,0,141,0.9812108559,,141,4,-0.1053905898,198,-119,,,,,
Tatsuya Imai,HOU,SP,146.8,149,8,0,4.29,1.33,70,133,63,19,26,26,7,3,140,0.9536784741,,140,2,-0.1331706465,#N/A,#N/A,,,,,
